O'CONNOR,O'Connor Cooperative School,Black Mountain School,St Joseph's Primary School,,,,,,,,,,,,,,,,,,,,,
COFFS HARBOUR,Coffs Harbour Senior College,Coffs Harbour Public School,Narranga Public School,Tyalla Public School,Coffs Harbour High School,Orara High School,St Augustine's Primary School,St John Paul College,Coffs Harbour Christian Community School - Junior Campus,Bishop Druitt College,Casuarina Steiner School,"Aspect Macarthur School, Northern Rivers, Coffs Harbour",Lismore Diocese Online Education Centre,Coffs Coast Alesco School,,,,,,,,,,
EAST RYDE,Field of Mars Environmental Education Centre,,,,,,,,,,,,,,,,,,,,,,,
ST LEONARDS,Bradfield College,Royal North Shore Hospital School,,,,,,,,,,,,,,,,,,,,,,
SURRY HILLS,Australian Institute of Music,Crown Street Public School,Sydney Distance Education Primary School,Bourke Street Public School,Sydney Boys High School,Sydney Girls High School,Central Sydney Intensive English High School,,,,,,,,,,,,,,,,,
HEBERSHAM,Blacktown Youth College Incorporated,Hebersham Public School,,,,,,,,,,,,,,,,,,,,,,
QUAKERS HILL,Wyndham College,St John Paul II Catholic College (Nirimba),Quakers Hill Public School,Hambledon Public School,Barnier Public School,Quakers Hill High School,Mary Immaculate Primary School,,,,,,,,,,,,,,,,,
NORTH RYDE,Arndell School,North Ryde Public School,Truscott Street Public School,Ryde East Public School,Holy Spirit Catholic Primary School,The Children's House Montessori,,,,,,,,,,,,,,,,,,
CAMPERDOWN,Bridge Road School,Royal Prince Alfred Hospital School,,,,,,,,,,,,,,,,,,,,,,
KARIONG,Girrakool School,Kariong Public School,Kariong Mountains High School,International Football and Tennis School,Ngaruki Gulgul,,,,,,,,,,,,,,,,,,,
CAMPBELLTOWN,Dorchester School,Campbelltown Public School,Kentlyn Public School,Campbelltown North Public School,Campbelltown East Public School,Briar Road Public School,Woodland Road Public School,Beverley Park School,Lomandra School,Campbelltown Performing Arts High School,Airds High School,St John the Evangelist Catholic Primary School,St Thomas More Catholic Primary School,"St Patrick's College, Campbelltown",St Peter's Anglican Primary School,"Aspect Macarthur School, Campbelltown",,,,,,,,
WERRINGTON,Putland School,Montgrove College - Werrington Campus,Werrington Public School,Werrington County Public School,Kurrambee School,Penrith Valley Learning Centre,Wollemi College,,,,,,,,,,,,,,,,,
