WARAKURNA,Ngaanyatjarra Lands School,,,,,,,,,,,,,,
DARKAN,Darkan Primary School,,,,,,,,,,,,,,
SUBIACO,School of Special Education Needs - Medical and Mental Health,Perth Modern School,Subiaco Primary School,,,,,,,,,,,,
COOLBINIA,Sir David Brand School,Coolbinia Primary School,,,,,,,,,,,,,
YANGEBUP,Divine Mercy College,Yangebup Primary School,Mater Christi Catholic Primary School,,,,,,,,,,,,
WILSON,Rehoboth Christian College - Wilson Campus,Wilson Primary School,,,,,,,,,,,,,
NORTHAMPTON,Northampton District High School,St Mary's School,,,,,,,,,,,,,
NORTHCLIFFE,Northcliffe District High School,,,,,,,,,,,,,,
PEMBERTON,Pemberton District High School,St Joseph's School,,,,,,,,,,,,,
QUAIRADING,Quairading District High School,,,,,,,,,,,,,,
RAVENSTHORPE,Ravensthorpe District High School,Jerdacuttup Primary School,,,,,,,,,,,,,
SOUTHERN CROSS,Southern Cross District High School,St Joseph's School,,,,,,,,,,,,,
TOM PRICE,Tom Price Senior High School,Tom Price Primary School,North Tom Price Primary School,,,,,,,,,,,,
TOODYAY,Toodyay District High School,,,,,,,,,,,,,,
WAGIN,Wagin District High School,,,,,,,,,,,,,,
WAROONA,Waroona District High School,St Joseph's School,,,,,,,,,,,,,
WONGAN HILLS,Wongan Hills District High School,,,,,,,,,,,,,,
WYALKATCHEM,Wyalkatchem District High School,,,,,,,,,,,,,,
WYNDHAM,Wyndham District High School,St Joseph's School,,,,,,,,,,,,,
YORK,York District High School,,,,,,,,,,,,,,
GIRRAWHEEN,Girrawheen Senior High School,Roseworth Primary School,Hudson Park Primary School,Roseworth Education Support Centre,Our Lady of Mercy Primary School,Emmanuel Christian Community School,Emmanuel Christian Community School - Casserley Avenue Campus,,,,,,,,
KAMBALDA WEST,Kambalda West District High School,,,,,,,,,,,,,,
KIARA,Kiara College,,,,,,,,,,,,,,
PARKWOOD,Lynwood Senior High School,Parkwood Primary School,,,,,,,,,,,,,
NEWMAN,Newman Senior High School,Newman Primary School,South Newman Primary School,Parnngurr Community School,,,,,,,,,,,
FORRESTFIELD,Darling Range Sports College,Forrestfield Primary School,Woodlupine Primary School,Dawson Park Primary School,HillSide Christian College,Heritage College Perth,,,,,,,,,
SWAN VIEW,Swan View Senior High School,Swan View Primary School,,,,,,,,,,,,,
GOSNELLS,Southern River College,Gosnells Primary School,Wirrabirra Primary School,Seaforth Primary School,Ashburton Drive Primary School,Wirrabirra Education Support Centre,St Munchin's Catholic School,,,,,,,,
GREENWOOD,Greenwood College,West Greenwood Primary School,Greenwood Primary School,Liwara Catholic Primary School,,,,,,,,,,,
KUNUNURRA,Kununurra District High School,Dawul Remote Community School,St Joseph's School,Ngalangangpum School,Purnululu Aboriginal Independent Community School,,,,,,,,,,
WANNEROO,Wanneroo Secondary College,Wanneroo Primary School,East Wanneroo Primary School,St Anthony's School,,,,,,,,,,,
MADDINGTON,Yule Brook College,Maddington Primary School,East Maddington Primary School,Bramfield Park Primary School,Maddington Education Support Centre,St Francis' School,,,,,,,,,
SAFETY BAY,Safety Bay Senior High School,Safety Bay Primary School,Malibu School,,,,,,,,,,,,
DUNCRAIG,Duncraig Senior High School,Davallia Primary School,Duncraig Primary School,Glengarry Primary School,Poynter Primary School,Duncraig Secondary Education Support Centre,St Stephen's School,,,,,,,,
DONGARA,Dongara District High School,,,,,,,,,,,,,,
LESMURDIE,Lesmurdie Senior High School,Lesmurdie Primary School,Falls Road Primary School,Mazenod College,St Brigid's College,,,,,,,,,,
WARWICK,Warwick Senior High School,Hawker Park Primary School,,,,,,,,,,,,,
GINGIN,Gingin District High School,,,,,,,,,,,,,,
YANCHEP,Yanchep District High School,Yanchep Beach Primary School,,,,,,,,,,,,,
OCEAN REEF,Ocean Reef Senior High School,Ocean Reef Primary School,Beaumaris Primary School,Prendiville Catholic College,St Simon Peter Catholic Primary School,,,,,,,,,,
LEEDERVILLE,School Of Isolated and Distance Education,West Leederville Primary School,Aranmore Catholic College,Aranmore Catholic Primary School,,,,,,,,,,,
MOUNT MAGNET,Mount Magnet District High School,,,,,,,,,,,,,,
LEEMING,Leeming Senior High School,Leeming Primary School,West Leeming Primary School,Banksia Park Primary School,Leeming Senior High School Education Support Centre,,,,,,,,,,
WOODVALE,Woodvale Secondary College,Woodvale Primary School,North Woodvale Primary School,St Luke's Catholic Primary School,,,,,,,,,,,
HALLS CREEK,Halls Creek District High School,John Pujajangka Piyirn School,Kururrungku Catholic Education Centre,Luurnpa Catholic School,Birlirr Ngawiyiwu Catholic School,Warlawurru Catholic School,Yiyili Aboriginal Community School,,,,,,,,
FITZROY CROSSING,Fitzroy Valley District High School,Muludja Remote Community School,Ngalapita Remote Community School,Kulkarriya Community School,Yakanarra Community School,Wulungarra Community School,Yiramalay/Wesley Studio School,,,,,,,,
SOUTH LAKE,Lakeland Senior High School,South Lake Primary School,,,,,,,,,,,,,
LEONORA,Leonora District High School,,,,,,,,,,,,,,
CHRISTMAS ISLAND,Christmas Island District High School,,,,,,,,,,,,,,
BELDON,Belridge Secondary College,Beldon Primary School,Beldon Education Support Centre,Belridge Secondary Education Support Centre,,,,,,,,,,,
JURIEN BAY,Jurien Bay District High School,,,,,,,,,,,,,,
COCOS ISLAND,Cocos Islands District High School,,,,,,,,,,,,,,
BALLAJURA,Ballajura Community College,Illawarra Primary School,Ballajura Primary School,South Ballajura Primary School,South Ballajura Education Support Centre,Mary MacKillop Catholic Community Primary School,,,,,,,,,
WARNBRO,Warnbro Community High School,Warnbro Primary School,Koorana Primary School,Koorana Education Support Centre,Warnbro Community High School Education Support Centre,Living Waters Lutheran College,,,,,,,,,
CLARKSON,Clarkson Community High School,Clarkson Primary School,Somerly Primary School,St Andrew's Catholic Primary School,Comet CaRE School (Clarkson),,,,,,,,,,
EATON,Eaton Community College,Eaton Primary School,Glen Huon Primary School,,,,,,,,,,,,
SHENTON PARK,Shenton College,Rosalie Primary School,Shenton College Deaf Education Centre,,,,,,,,,,,,
KINROSS,Kinross College,Kinross Primary School,,,,,,,,,,,,,
KALBARRI,Kalbarri District High School,,,,,,,,,,,,,,
SECRET HARBOUR,Comet Bay College,Secret Harbour Primary School,Comet Bay Primary School,,,,,,,,,,,,
VASSE,Cape Naturaliste College,Vasse Primary School,,,,,,,,,,,,,
DARCH,Ashdale Secondary College,Ashdale Primary School,Kingsway Christian College,,,,,,,,,,,,
DALYELLUP,Dalyellup College,Ocean Forest Lutheran College,Dalyellup Primary School,Tuart Forest Primary School,,,,,,,,,,,
ATWELL,Atwell College,Atwell Primary School,Harmony Primary School,,,,,,,,,,,,
MOUNT BARKER,Mount Barker Community College,,,,,,,,,,,,,,
ALLANSON,Allanson Primary School,,,,,,,,,,,,,,
APPLECROSS,Applecross Primary School,St Benedict's School,,,,,,,,,,,,,
ASHFIELD,Ashfield Primary School,,,,,,,,,,,,,,
