DARLING SOUTH,The Currajong School,,,,,,,,,,,,,,,,,,,,,,
STAWELL,Glenvale School - Stawell Centre,Stawell Primary School,Stawell West Primary School,Skene Street School Stawell,Stawell Secondary College,St Patrick's School,,,,,,,,,,,,,,,,,
OFFICER,Heritage College - Officer Campus,St Margaret's School - Berwick Grammar School,Officer Primary School,St Brigid's School,Maranatha Christian School - Officer Campus,Minaret College - Officer Campus,Glenvale School - Berwick Centre,St Francis Xavier College - Officer Campus,Officer Specialist School,St Clare's Primary School,Officer Secondary College (interim name),,,,,,,,,,,,
LOVELY BANKS,Glenvale School - Geelong Campus,Geelong Baptist College,,,,,,,,,,,,,,,,,,,,,
WATSONIA,Watsonia Primary School,Loyola College,Concord School-Concord Junior Campus,,,,,,,,,,,,,,,,,,,,
ALBERTON,Alberton Primary School,,,,,,,,,,,,,,,,,,,,,,
ALLANSFORD,Allansford and District Primary School,,,,,,,,,,,,,,,,,,,,,,
AVOCA,Avoca Primary School,,,,,,,,,,,,,,,,,,,,,,
AVENEL,Avenel Primary School,,,,,,,,,,,,,,,,,,,,,,
WARRANDYTE,Warrandyte Primary School,Andersons Creek Primary School,Warrandyte High School,,,,,,,,,,,,,,,,,,,,
BACCHUS MARSH,Bacchus Marsh Primary School,Darley Primary School,Pentland Primary School,Bacchus Marsh College,St Bernard's School,Bacchus Marsh Grammar,,,,,,,,,,,,,,,,,
BALLARAT,Ballarat Primary School (Dana Street),Mount Pleasant Primary School,Black Hill Primary School,Urquhart Park Primary School,Ballarat North Primary School,Ballarat High School,St Patrick's College Ballarat,St Patrick's School,Loreto College,Ballarat Clarendon College,Ballarat Clarendon College - Second Campus,Ballarat Secondary College-LinkUp - Ballarat Learning Exchange Campus,Mount Clear College-G Place Campus,Sovereign Hill School,SEDA College (Victoria) - Multi Ballarat,,,,,,,,
BERWICK,Berwick Primary School,Berwick Lodge Primary School,Berwick Fields Primary School,Brentwood Park Primary School,Timbarra P-9 College,Berwick Chase Primary School,Berwick Secondary College,Kambrya College,Nossal High School,St Michael's School,St Francis Xavier College - Berwick Campus,St Catherine's Primary School,Haileybury College - Berwick Campus,St Margaret's School,Beaconhills College - Village Campus,Insight Education Centre for the Blind and Vision Impaired,Haileybury Girls College - Berwick Campus,SEDA College (Victoria) - AFL- Berwick,,,,,
BEAUFORT,Beaufort Primary School,Beaufort Secondary College,,,,,,,,,,,,,,,,,,,,,
CHELTENHAM,Cheltenham Primary School,Cheltenham East Primary School,Kingston Heath Primary School,Le Page Primary School,Cheltenham Secondary College,Our Lady of the Assumption School,,,,,,,,,,,,,,,,,
CUDGEE,Cudgee Primary School,,,,,,,,,,,,,,,,,,,,,,
