NORWOOD,Saint Ignatius' College - Junior School Campus,Norwood Primary School,St Joseph's Memorial School,Queechy High School,Norwood Primary School,,,,,,,,,,,,
MILE END,St George College - Junior Campus,Temple Christian College,St George College,,,,,,,,,,,,,,
BEVERLEY,St Michael's College - Primary Campus,,,,,,,,,,,,,,,,
PORT PIRIE,St Mark's College - Benedict Campus,Mid North Education Centre,Port Pirie West Primary School,Solomontown Primary School,Risdon Park Primary School,John Pirie Secondary School,Airdale Primary School,St Mark's College,Mid North Christian College,,,,,,,,
EVANSTON SOUTH,Trinity College Senior,Trinity College South,Trinity College North,,,,,,,,,,,,,,
WHYALLA STUART,Samaritan College - Our Lady Help of Christians Campus,Whyalla Stuart Campus R-7,Stuart High School,,,,,,,,,,,,,,
WHYALLA,Samaritan College - St Teresa's Campus,Whyalla Town Primary School,Memorial Oval Primary School,Whyalla High School,Samaritan College,,,,,,,,,,,,
FLINDERS PARK,Nazareth Catholic College - Secondary Campus,Flinders Park Primary School,Our Lady of La Vang School,,,,,,,,,,,,,,
ELIZABETH EAST,Pinnacle College - Elizabeth East Campus,Elizabeth East Primary School,,,,,,,,,,,,,,,
SMITHFIELD PLAINS,John Hartley School (B-7),,,,,,,,,,,,,,,,
MINDARIE,East Murray Area School,,,,,,,,,,,,,,,,
COROMANDEL VALLEY,Coromandel Valley Primary School,,,,,,,,,,,,,,,,
COWANDILLA,Cowandilla Primary School,,,,,,,,,,,,,,,,
CRAFERS,Crafers Primary School,,,,,,,,,,,,,,,,
CRYSTAL BROOK,Crystal Brook Primary School,,,,,,,,,,,,,,,,
CURRAMULKA,Curramulka Primary School,,,,,,,,,,,,,,,,
MURRAY BRIDGE,Murray Bridge Special School,Murray Bridge North School,Murray Bridge High School,Murray Bridge South Primary School,Fraser Park Primary School,St Joseph's School,Tyndale Christian School Murray Bridge,Unity College,,,,,,,,,
ECHUNGA,Echunga Primary School,,,,,,,,,,,,,,,,
EDEN HILLS,Eden Hills Primary School,Blackwood Primary School,Blackwood High School,,,,,,,,,,,,,,
MELROSE PARK,Edwardstown Primary School,,,,,,,,,,,,,,,,
ELLISTON,Elliston Area School,,,,,,,,,,,,,,,,
LENSWOOD,Lenswood Primary School,,,,,,,,,,,,,,,,
FRANCES,Frances Primary School,,,,,,,,,,,,,,,,
FREELING,Freeling Primary School,,,,,,,,,,,,,,,,
GAWLER,Gawler Primary School,,,,,,,,,,,,,,,,
EVANSTON GARDENS,Evanston Gardens Primary School,,,,,,,,,,,,,,,,
GERANIUM,Geranium Primary School,,,,,,,,,,,,,,,,
GLADSTONE,Gladstone Primary School,Gladstone High School,St Joseph's Parish School,,,,,,,,,,,,,,
GLENBURNIE,Glenburnie Primary School,,,,,,,,,,,,,,,,
MYRTLE BANK,Glen Osmond Primary School,,,,,,,,,,,,,,,,
GLOSSOP,Glossop Primary Community School K-7,Glossop High School,Rivergum Christian College,Glossop High School - Middle Campus,,,,,,,,,,,,,
GOODWOOD,Goodwood Primary School,St Thomas' School,,,,,,,,,,,,,,,
GOOLWA,Goolwa Primary School,Investigator College - Goolwa Campus,,,,,,,,,,,,,,,
GREENOCK,Greenock Primary School,,,,,,,,,,,,,,,,
GUMERACHA,Gumeracha Primary School,,,,,,,,,,,,,,,,
HAHNDORF,Hahndorf Primary School,St Michael's Lutheran School,,,,,,,,,,,,,,,
