POSTCODE,SUBURB 1,SUBURB 2,SUBURB 3,SUBURB 4,SUBURB 5,SUBURB 6,SUBURB 7,SUBURB 8,SUBURB 9,SUBURB 10,SUBURB 11,SUBURB 12,SUBURB 13,SUBURB 14,SUBURB 15,SUBURB 16,SUBURB 17,SUBURB 18,SUBURB 19,SUBURB 20,SUBURB 21,SUBURB 22,SUBURB 23,SUBURB 24,SUBURB 25,SUBURB 26,SUBURB 27,SUBURB 28,SUBURB 29,SUBURB 30,SUBURB 31,SUBURB 32,SUBURB 33,SUBURB 34,SUBURB 35,SUBURB 36,SUBURB 37,SUBURB 38,SUBURB 39,SUBURB 40,SUBURB 41,SUBURB 42,SUBURB 43,SUBURB 44,SUBURB 45,SUBURB 46
2071,KILLARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,GORDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,PYMBLE,WEST PYMBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,NORTH TURRAMURRA,TURRAMURRA,SOUTH TURRAMURRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2075,ST IVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076,WAHROONGA,NORMANHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,BOBBIN HEAD,ASQUITH,HORNSBY,WAITARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079,MOUNT COLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,MOUNT KURING-GAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2081,BEROWRA,COWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2082,BEROWRA HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2083,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,TERREY HILLS,DUFFYS FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2085,BELROSE,DAVIDSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,FRENCHS FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2087,FORESTVILLE,KILLARNEY HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2088,MOSMAN,CLIFTON GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089,NEUTRAL BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,CREMORNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2092,SEAFORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,NORTH BALGOWLAH,BALGOWLAH,MANLY VALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,MANLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2096,FRESHWATER,CURL CURL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2097,COLLAROY PLATEAU,COLLAROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2099,NARRAWEENA,DEE WHY,NORTH CURL CURL,CROMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,BROOKVALE,BEACON HILL,ALLAMBIE HEIGHTS,OXFORD FALLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
